Iteration 1: c = [, s = Ú√Õ, state = 0
Iteration 6368: c = {, s = etrxr, state = 9
Iteration 6369: c = (, s = sexee, state = 9
Iteration 6370: c =  , s = sxtes, state = 9
Iteration 6371: c =  , s = rxttt, state = 9
Iteration 6372: c = ), s = erxas, state = 9
Iteration 6373: c = s, s = xarxe, state = 9
Iteration 6374: c = (, s = xerer, state = 9
Iteration 6375: c = (, s = tsxas, state = 9
Iteration 6376: c = s, s = erxss, state = 9
Iteration 6377: c = }, s = sttts, state = 9
Iteration 6378: c =  , s = txrrs, state = 9
Iteration 6379: c = x, s = rrxse, state = 9
Iteration 6380: c = t, s = rxese, state = 9
Iteration 6381: c = t, s = xsars, state = 9
Iteration 6382: c = {, s = sterx, state = 9
Iteration 6383: c = t, s = xerrs, state = 9
Iteration 6384: c = (, s = etata, state = 9
Iteration 6385: c =  , s = reeat, state = 9
Iteration 6386: c = e, s = xattx, state = 9
Iteration 6387: c = {, s = xsrta, state = 9
Iteration 6388: c = [, s = attte, state = 9
Iteration 6389: c = [, s = txaxr, state = 9
Iteration 6390: c = t, s = terxr, state = 9
Iteration 6391: c = a, s = txxrt, state = 9
Iteration 6392: c = [, s = eerts, state = 9
Iteration 6393: c = }, s = sttst, state = 9
Iteration 6394: c = e, s = essar, state = 9
Iteration 6395: c = {, s = esrar, state = 9
Iteration 6396: c = r, s = starr, state = 9
Iteration 6397: c = {, s = rxstr, state = 9
Iteration 6398: c = {, s = xaare, state = 9
Iteration 6399: c = t, s = ttaer, state = 9
Iteration 6400: c = r, s = asxra, state = 9
Iteration 6401: c = ), s = sxast, state = 9
Iteration 6402: c =  , s = sasra, state = 9
Iteration 6403: c = ], s = xexar, state = 9
Iteration 6404: c =  , s = txtst, state = 9
Iteration 6405: c =  , s = ssera, state = 9
Iteration 6406: c = ], s = tetrt, state = 9
Iteration 6407: c = r, s = rrese, state = 9
Iteration 6408: c = x, s = sssas, state = 9
Iteration 6409: c = t, s = sxasa, state = 9
Iteration 6410: c = (, s = aeatx, state = 9
Iteration 6411: c = [, s = ststt, state = 9
Iteration 6412: c = t, s = rrsxa, state = 9
Iteration 6413: c = [, s = sxxet, state = 9
Iteration 6414: c = {, s = ttxse, state = 9
Iteration 6415: c = {, s = sexta, state = 9
Iteration 6416: c = x, s = tttrs, state = 9
Iteration 6417: c = }, s = rtxee, state = 9
Iteration 6418: c = r, s = rsxre, state = 9
Iteration 6419: c = r, s = xsxre, state = 9
Iteration 6420: c = {, s = eaats, state = 9
Iteration 6421: c = [, s = xxsre, state = 9
Iteration 6422: c = ), s = ttees, state = 9
Iteration 6423: c =  , s = aaxea, state = 9
Iteration 6424: c = t, s = traes, state = 9
Iteration 6425: c = r, s = raaax, state = 9
Iteration 6426: c = ], s = esatx, state = 9
Iteration 6427: c = (, s = xsera, state = 9
Iteration 6428: c = x, s = rxate, state = 9
Iteration 6429: c = s, s = xrsxt, state = 9
Iteration 6430: c = t, s = etsee, state = 9
Iteration 6431: c = }, s = tsatx, state = 9
Iteration 6432: c = ), s = aeeee, state = 9
Iteration 6433: c = {, s = eserx, state = 9
Iteration 6434: c = {, s = sxrrr, state = 9
Iteration 6435: c = ], s = testx, state = 9
Iteration 6436: c = a, s = ersrx, state = 9
Iteration 6437: c = a, s = txxat, state = 9
Iteration 6438: c = ), s = xseex, state = 9
Iteration 6439: c = e, s = steta, state = 9
Iteration 6440: c = {, s = resas, state = 9
Iteration 6441: c = ), s = rttss, state = 9
Iteration 6442: c = [, s = xeses, state = 9
Iteration 6443: c = (, s = xatta, state = 9
Iteration 6444: c = x, s = eaaee, state = 9
Iteration 6445: c = s, s = txxtr, state = 9
Iteration 6446: c = x, s = txaxt, state = 9
Iteration 6447: c = ), s = xsser, state = 9
Iteration 6448: c = x, s = sttae, state = 9
Iteration 6449: c = (, s = eestr, state = 9
Iteration 6450: c = {, s = rsxaa, state = 9
Iteration 6451: c = s, s = xerrt, state = 9
Iteration 6452: c = a, s = rterx, state = 9
Iteration 6453: c = {, s = asexs, state = 9
Iteration 6454: c = }, s = xaaex, state = 9
Iteration 6455: c = [, s = axsss, state = 9
Iteration 6456: c =  , s = astxt, state = 9
Iteration 6457: c = e, s = errta, state = 9
Iteration 6458: c = t, s = tttar, state = 9
Iteration 6459: c = a, s = erssa, state = 9
Iteration 6460: c =  , s = rttae, state = 9
Iteration 6461: c = e, s = rteet, state = 9
Iteration 6462: c = r, s = axxar, state = 9
Iteration 6463: c = t, s = raatt, state = 9
Iteration 6464: c = ), s = xasrs, state = 9
Iteration 6465: c =  , s = ssaex, state = 9
Iteration 6466: c = r, s = sxret, state = 9
Iteration 6467: c = r, s = esrtt, state = 9
Iteration 6468: c = e, s = aaxea, state = 9
Iteration 6469: c = (, s = exxsa, state = 9
Iteration 6470: c = [, s = easrx, state = 9
Iteration 6471: c = }, s = xexea, state = 9
Iteration 6472: c = r, s = serxe, state = 9
Iteration 6473: c = (, s = rxsxx, state = 9
Iteration 6474: c = e, s = rtets, state = 9
Iteration 6475: c =  , s = tassa, state = 9
Iteration 6476: c = t, s = trarx, state = 9
Iteration 6477: c = t, s = txaxt, state = 9
Iteration 6478: c = r, s = xsrex, state = 9
Iteration 6479: c = x, s = aarxs, state = 9
Iteration 6480: c = x, s = trxst, state = 9
Iteration 6481: c = {, s = axsxs, state = 9
Iteration 6482: c = x, s = tssae, state = 9
Iteration 6483: c = [, s = xexxa, state = 9
Iteration 6484: c = a, s = xrttt, state = 9
Iteration 6485: c = a, s = sxrre, state = 9
Iteration 6486: c = }, s = etrsx, state = 9
Iteration 6487: c = a, s = xtxae, state = 9
Iteration 6488: c = e, s = ssxxe, state = 9
Iteration 6489: c = ), s = stsas, state = 9
Iteration 6490: c = ), s = seart, state = 9
Iteration 6491: c = {, s = sstss, state = 9
Iteration 6492: c = e, s = estxx, state = 9
Iteration 6493: c = r, s = easex, state = 9
Iteration 6494: c = }, s = rxett, state = 9
Iteration 6495: c = t, s = etaae, state = 9
Iteration 6496: c = [, s = ersse, state = 9
Iteration 6497: c = r, s = trxsa, state = 9
Iteration 6498: c = x, s = testx, state = 9
Iteration 6499: c = ], s = exrxa, state = 9
Iteration 6500: c = t, s = txser, state = 9
Iteration 6501: c = }, s = rsarr, state = 9
Iteration 6502: c = }, s = retee, state = 9
Iteration 6503: c = (, s = asrrr, state = 9
Iteration 6504: c = s, s = errxr, state = 9
Iteration 6505: c = (, s = xerte, state = 9
Iteration 6506: c = x, s = eeaxt, state = 9
Iteration 6507: c = e, s = atter, state = 9
Iteration 6508: c = s, s = saxar, state = 9
Iteration 6509: c =  , s = taaax, state = 9
Iteration 6510: c = x, s = sssae, state = 9
Iteration 6511: c = ), s = axetr, state = 9
Iteration 6512: c = t, s = etexe, state = 9
Iteration 6513: c = r, s = sxesa, state = 9
Iteration 6514: c = }, s = exaex, state = 9
Iteration 6515: c = x, s = sstae, state = 9
Iteration 6516: c = x, s = tstte, state = 9
Iteration 6517: c = }, s = xtrss, state = 9
Iteration 6518: c = t, s = attxx, state = 9
Iteration 6519: c =  , s = atrxe, state = 9
Iteration 6520: c = ), s = txres, state = 9
Iteration 6521: c = }, s = setxa, state = 9
Iteration 6522: c = ), s = ertss, state = 9
Iteration 6523: c = ], s = esxet, state = 9
Iteration 6524: c = r, s = xxees, state = 9
Iteration 6525: c = r, s = axrer, state = 9
Iteration 6526: c = ), s = xtsra, state = 9
Iteration 6527: c = [, s = raera, state = 9
Iteration 6528: c = ), s = esess, state = 9
Iteration 6529: c = ], s = eaeee, state = 9
Iteration 6530: c =  , s = xaexs, state = 9
Iteration 6531: c = s, s = sxatt, state = 9
Iteration 6532: c = ], s = rtsrt, state = 9
Iteration 6533: c =  , s = txxte, state = 9
Iteration 6534: c = e, s = ttrrs, state = 9
Iteration 6535: c = e, s = srter, state = 9
Iteration 6536: c = ], s = ttrex, state = 9
Iteration 6537: c = {, s = tsrtt, state = 9
Iteration 6538: c = r, s = esert, state = 9
Iteration 6539: c = x, s = ssxxa, state = 9
Iteration 6540: c = r, s = sease, state = 9
Iteration 6541: c = ], s = rtext, state = 9
Iteration 6542: c = a, s = xsaar, state = 9
Iteration 6543: c = r, s = rtser, state = 9
Iteration 6544: c = ], s = sttrs, state = 9
Iteration 6545: c = s, s = tsstt, state = 9
Iteration 6546: c = a, s = rtaea, state = 9
Iteration 6547: c = (, s = xarrr, state = 9
Iteration 6548: c = ), s = xtrxa, state = 9
Iteration 6549: c = t, s = sarts, state = 9
Iteration 6550: c = x, s = reeer, state = 9
Iteration 6551: c =  , s = astre, state = 9
Iteration 6552: c =  , s = taara, state = 9
Iteration 6553: c = }, s = eaxte, state = 9
Iteration 6554: c = r, s = rrrsr, state = 9
Iteration 6555: c = }, s = sxtte, state = 9
Iteration 6556: c = x, s = aaxee, state = 9
Iteration 6557: c = a, s = sssrr, state = 9
Iteration 6558: c = a, s = retes, state = 9
Iteration 6559: c = [, s = asssx, state = 9
Iteration 6560: c = ), s = rtaas, state = 9
Iteration 6561: c = ], s = tsstr, state = 9
Iteration 6562: c = }, s = sxsra, state = 9
Iteration 6563: c = a, s = essaa, state = 9
Iteration 6564: c = t, s = axsxe, state = 9
Iteration 6565: c = {, s = axtre, state = 9
Iteration 6566: c = (, s = xxetx, state = 9
Iteration 6567: c = x, s = xtret, state = 9
Iteration 6568: c = ], s = sxsxe, state = 9
Iteration 6569: c = (, s = aresr, state = 9
Iteration 6570: c = ], s = exxaa, state = 9
Iteration 6571: c = e, s = xrsea, state = 9
Iteration 6572: c = r, s = eeeax, state = 9
Iteration 6573: c = t, s = estse, state = 9
Iteration 6574: c = ], s = xaerx, state = 9
Iteration 6575: c = ], s = xxrse, state = 9
Iteration 6576: c = x, s = atatr, state = 9
Iteration 6577: c = ), s = seeas, state = 9
Iteration 6578: c = }, s = earra, state = 9
Iteration 6579: c = r, s = ttrss, state = 9
Iteration 6580: c = [, s = eaxar, state = 9
Iteration 6581: c = {, s = exxes, state = 9
Iteration 6582: c = ), s = srsee, state = 9
Iteration 6583: c = {, s = attsa, state = 9
Iteration 6584: c = (, s = eaeax, state = 9
Iteration 6585: c = r, s = sxexr, state = 9
Iteration 6586: c = a, s = trrtx, state = 9
Iteration 6587: c = a, s = raeax, state = 9
Iteration 6588: c = (, s = xsasr, state = 9
Iteration 6589: c = ], s = xsett, state = 9
Iteration 6590: c = (, s = saast, state = 9
Iteration 6591: c = (, s = rxxre, state = 9
Iteration 6592: c = r, s = srsax, state = 9
Iteration 6593: c =  , s = xxrxr, state = 9
Iteration 6594: c = }, s = rtatx, state = 9
Iteration 6595: c = r, s = tsssr, state = 9
Iteration 6596: c = r, s = tsset, state = 9
Iteration 6597: c = r, s = raasr, state = 9
Iteration 6598: c = e, s = tsaae, state = 9
Iteration 6599: c = t, s = ttxxa, state = 9
Iteration 6600: c = [, s = axatr, state = 9
Iteration 6601: c = s, s = ssxtr, state = 9
Iteration 6602: c = s, s = eerer, state = 9
Iteration 6603: c = t, s = esser, state = 9
Iteration 6604: c = s, s = sttss, state = 9
Iteration 6605: c = ], s = trxat, state = 9
Iteration 6606: c = {, s = arsst, state = 9
Iteration 6607: c = ), s = txxar, state = 9
Iteration 6608: c = e, s = taasa, state = 9
Iteration 6609: c = a, s = xraas, state = 9
Iteration 6610: c = [, s = xraxs, state = 9
Iteration 6611: c = {, s = xtses, state = 9
Iteration 6612: c = t, s = sxtas, state = 9
Iteration 6613: c = e, s = etsxe, state = 9
Iteration 6614: c = e, s = ttarx, state = 9
Iteration 6615: c = a, s = stser, state = 9
Iteration 6616: c = a, s = starr, state = 9
Iteration 6617: c = t, s = eaerx, state = 9
Iteration 6618: c = [, s = erxrt, state = 9
Iteration 6619: c = (, s = eaete, state = 9
Iteration 6620: c = ], s = exttr, state = 9
Iteration 6621: c = {, s = xxssx, state = 9
Iteration 6622: c = r, s = trtxs, state = 9
Iteration 6623: c = ], s = erset, state = 9
Iteration 6624: c = x, s = rttss, state = 9
Iteration 6625: c = a, s = easrs, state = 9
Iteration 6626: c = [, s = txxsx, state = 9
Iteration 6627: c = [, s = sxxte, state = 9
Iteration 6628: c = {, s = raara, state = 9
Iteration 6629: c = ], s = estxt, state = 9
Iteration 6630: c = (, s = rxrxa, state = 9
Iteration 6631: c = }, s = astas, state = 9
Iteration 6632: c = e, s = rsxss, state = 9
Iteration 6633: c = e, s = asaes, state = 9
Iteration 6634: c = r, s = rteaa, state = 9
Iteration 6635: c = (, s = rttsr, state = 9
Iteration 6636: c = {, s = rrtsr, state = 9
Iteration 6637: c = (, s = ssstr, state = 9
Iteration 6638: c =  , s = sxtae, state = 9
Iteration 6639: c = e, s = xrsaa, state = 9
Iteration 6640: c = (, s = saaea, state = 9
Iteration 6641: c = x, s = sratr, state = 9
Iteration 6642: c = [, s = asset, state = 9
Iteration 6643: c = e, s = raxxs, state = 9
Iteration 6644: c = e, s = tetar, state = 9
Iteration 6645: c = e, s = astte, state = 9
Iteration 6646: c = e, s = rretr, state = 9
Iteration 6647: c = {, s = setse, state = 9
Iteration 6648: c =  , s = sssas, state = 9
Iteration 6649: c = e, s = exssx, state = 9
Iteration 6650: c = r, s = xesat, state = 9
Iteration 6651: c = t, s = xssaa, state = 9
Iteration 6652: c = (, s = eetae, state = 9
Iteration 6653: c = x, s = srtaa, state = 9
Iteration 6654: c = ], s = xexat, state = 9
Iteration 6655: c = ), s = erxea, state = 9
Iteration 6656: c = r, s = ssart, state = 9
Iteration 6657: c = ), s = etxxt, state = 9
Iteration 6658: c = (, s = essee, state = 9
Iteration 6659: c = {, s = axtas, state = 9
Iteration 6660: c = t, s = axtst, state = 9
Iteration 6661: c =  , s = srase, state = 9
Iteration 6662: c = }, s = texra, state = 9
Iteration 6663: c = (, s = txstx, state = 9
Iteration 6664: c = ], s = rrera, state = 9
Iteration 6665: c = [, s = xeaax, state = 9
Iteration 6666: c = x, s = ttsax, state = 9
Iteration 6667: c = e, s = aaxae, state = 9
Iteration 6668: c =  , s = txxre, state = 9
Iteration 6669: c =  , s = xatex, state = 9
Iteration 6670: c = {, s = ttxte, state = 9
Iteration 6671: c = ), s = serae, state = 9
Iteration 6672: c = [, s = seerr, state = 9
Iteration 6673: c = ], s = xasss, state = 9
Iteration 6674: c = ), s = trasr, state = 9
Iteration 6675: c = e, s = rrear, state = 9
Iteration 6676: c = }, s = srtxs, state = 9
Iteration 6677: c = t, s = etaat, state = 9
Iteration 6678: c = e, s = xerte, state = 9
Iteration 6679: c = x, s = aaste, state = 9
Iteration 6680: c = [, s = tetas, state = 9
Iteration 6681: c = s, s = exses, state = 9
Iteration 6682: c = ], s = satts, state = 9
Iteration 6683: c = (, s = rxeta, state = 9
Iteration 6684: c = e, s = txstx, state = 9
Iteration 6685: c = x, s = xaxrx, state = 9
Iteration 6686: c = ], s = saaas, state = 9
Iteration 6687: c = e, s = teaxs, state = 9
Iteration 6688: c =  , s = setsr, state = 9
Iteration 6689: c = r, s = eexsr, state = 9
Iteration 6690: c = e, s = rxxst, state = 9
Iteration 6691: c = t, s = extst, state = 9
Iteration 6692: c = }, s = ereet, state = 9
Iteration 6693: c = [, s = xsxts, state = 9
Iteration 6694: c = t, s = ttxxs, state = 9
Iteration 6695: c = [, s = stsrr, state = 9
Iteration 6696: c = t, s = xsrxr, state = 9
Iteration 6697: c =  , s = xatxx, state = 9
Iteration 6698: c = e, s = rssts, state = 9
Iteration 6699: c = (, s = aeaxa, state = 9
Iteration 6700: c = x, s = atsre, state = 9
Iteration 6701: c = }, s = errrx, state = 9
Iteration 6702: c =  , s = xtaxr, state = 9
Iteration 6703: c = a, s = aseax, state = 9
Iteration 6704: c = s, s = xxrrt, state = 9
Iteration 6705: c = (, s = exaae, state = 9
Iteration 6706: c = [, s = stere, state = 9
Iteration 6707: c = ), s = xrarr, state = 9
Iteration 6708: c = s, s = rxssx, state = 9
Iteration 6709: c = t, s = arrsr, state = 9
Iteration 6710: c =  , s = rtatt, state = 9
Iteration 6711: c = r, s = saxxx, state = 9
Iteration 6712: c = ), s = rrxae, state = 9
Iteration 6713: c = [, s = txsxx, state = 9
Iteration 6714: c = r, s = rttxe, state = 9
Iteration 6715: c = r, s = stxet, state = 9
Iteration 6716: c = (, s = exetr, state = 9
Iteration 6717: c = {, s = ateax, state = 9
Iteration 6718: c = a, s = rreaa, state = 9
Iteration 6719: c = {, s = rexea, state = 9
Iteration 6720: c = s, s = xsats, state = 9
Iteration 6721: c = [, s = xxaxa, state = 9
Iteration 6722: c = s, s = setea, state = 9
Iteration 6723: c = [, s = esxsr, state = 9
Iteration 6724: c =  , s = strrs, state = 9
Iteration 6725: c = {, s = srtea, state = 9
Iteration 6726: c =  , s = etrsr, state = 9
Iteration 6727: c = ), s = xrxsx, state = 9
Iteration 6728: c =  , s = xeets, state = 9
Iteration 6729: c = r, s = trarx, state = 9
Iteration 6730: c = x, s = aseax, state = 9
Iteration 6731: c = x, s = eatas, state = 9
Iteration 6732: c = t, s = exaes, state = 9
Iteration 6733: c = [, s = xtrax, state = 9
Iteration 6734: c = [, s = rrrss, state = 9
Iteration 6735: c = ], s = ttser, state = 9
Iteration 6736: c = }, s = teset, state = 9
Iteration 6737: c = ), s = trraa, state = 9
Iteration 6738: c =  , s = raxrs, state = 9
Iteration 6739: c = [, s = tttat, state = 9
Iteration 6740: c =  , s = earas, state = 9
Iteration 6741: c = (, s = saxrt, state = 9
Iteration 6742: c = x, s = sxess, state = 9
Iteration 6743: c = e, s = erexr, state = 9
Iteration 6744: c = e, s = xxeet, state = 9
Iteration 6745: c = ), s = xtrxx, state = 9
Iteration 6746: c = x, s = xxaxt, state = 9
Iteration 6747: c = e, s = asrxa, state = 9
Iteration 6748: c = s, s = rrtrr, state = 9
Iteration 6749: c = t, s = etsat, state = 9
Iteration 6750: c = }, s = etrte, state = 9
Iteration 6751: c = (, s = exees, state = 9
Iteration 6752: c = }, s = axtse, state = 9
Iteration 6753: c =  , s = eartx, state = 9
Iteration 6754: c = x, s = trexe, state = 9
Iteration 6755: c = }, s = erxee, state = 9
Iteration 6756: c = ], s = eexse, state = 9
Iteration 6757: c = ], s = attrr, state = 9
Iteration 6758: c = t, s = seess, state = 9
Iteration 6759: c = s, s = trtrs, state = 9
Iteration 6760: c = [, s = xsrxx, state = 9
Iteration 6761: c = s, s = rrxsa, state = 9
Iteration 6762: c = ], s = axxee, state = 9
Iteration 6763: c = e, s = xeeaa, state = 9
Iteration 6764: c = ], s = teext, state = 9
Iteration 6765: c = s, s = xtets, state = 9
Iteration 6766: c =  , s = aaxer, state = 9
Iteration 6767: c = {, s = teesa, state = 9
Iteration 6768: c = ], s = satxa, state = 9
Iteration 6769: c = (, s = aeaxr, state = 9
Iteration 6770: c = e, s = rtarx, state = 9
Iteration 6771: c = ], s = xettr, state = 9
Iteration 6772: c = s, s = atata, state = 9
Iteration 6773: c = }, s = stsse, state = 9
Iteration 6774: c = {, s = rrxxe, state = 9
Iteration 6775: c = ), s = taraa, state = 9
Iteration 6776: c = ], s = xresa, state = 9
Iteration 6777: c = ), s = ttsxa, state = 9
Iteration 6778: c = e, s = etxse, state = 9
Iteration 6779: c = r, s = raraa, state = 9
Iteration 6780: c = [, s = taxtx, state = 9
Iteration 6781: c = (, s = sttrs, state = 9
Iteration 6782: c = r, s = reeea, state = 9
Iteration 6783: c = a, s = xsssx, state = 9
Iteration 6784: c = }, s = eaeer, state = 9
Iteration 6785: c = (, s = reere, state = 9
Iteration 6786: c = }, s = sasxs, state = 9
Iteration 6787: c = r, s = xasrx, state = 9
Iteration 6788: c = a, s = sxxss, state = 9
Iteration 6789: c = x, s = xtxst, state = 9
Iteration 6790: c = [, s = xastt, state = 9
Iteration 6791: c = }, s = srxtx, state = 9
Iteration 6792: c = t, s = sxsra, state = 9
Iteration 6793: c = }, s = xsata, state = 9
Iteration 6794: c = e, s = trrxt, state = 9
Iteration 6795: c = e, s = serss, state = 9
Iteration 6796: c = {, s = rtaas, state = 9
Iteration 6797: c = a, s = estrt, state = 9
Iteration 6798: c = ), s = xsers, state = 9
Iteration 6799: c = t, s = trtes, state = 9
Iteration 6800: c = {, s = trrte, state = 9
Iteration 6801: c = }, s = eexat, state = 9
Iteration 6802: c = a, s = esrxe, state = 9
Iteration 6803: c = [, s = rxsss, state = 9
Iteration 6804: c = }, s = tsess, state = 9
Iteration 6805: c = t, s = tarea, state = 9
Iteration 6806: c = s, s = seeat, state = 9
Iteration 6807: c = a, s = aaxar, state = 9
Iteration 6808: c = ), s = eetxa, state = 9
Iteration 6809: c = (, s = asrre, state = 9
Iteration 6810: c = ], s = raaea, state = 9
Iteration 6811: c = a, s = trtxt, state = 9
Iteration 6812: c = t, s = xstax, state = 9
Iteration 6813: c = (, s = eaaer, state = 9
Iteration 6814: c = [, s = rsats, state = 9
Iteration 6815: c = ], s = eesrt, state = 9
Iteration 6816: c = ], s = terea, state = 9
Iteration 6817: c = a, s = esxtt, state = 9
Iteration 6818: c = (, s = txeex, state = 9
Iteration 6819: c = [, s = eraee, state = 9
Iteration 6820: c = }, s = txsaa, state = 9
Iteration 6821: c = r, s = etxxr, state = 9
Iteration 6822: c = ), s = axxae, state = 9
Iteration 6823: c = ], s = aaasr, state = 9
Iteration 6824: c = {, s = rrese, state = 9
Iteration 6825: c = }, s = rxttr, state = 9
Iteration 6826: c = t, s = ssets, state = 9
Iteration 6827: c = x, s = tasxt, state = 9
Iteration 6828: c = [, s = essaa, state = 9
Iteration 6829: c = a, s = rasar, state = 9
Iteration 6830: c =  , s = eatea, state = 9
Iteration 6831: c = ), s = xerxa, state = 9
Iteration 6832: c = t, s = ersrx, state = 9
Iteration 6833: c = [, s = tsaaa, state = 9
Iteration 6834: c = t, s = esser, state = 9
Iteration 6835: c = ], s = atrse, state = 9
Iteration 6836: c = t, s = sssar, state = 9
Iteration 6837: c = ], s = sssrt, state = 9
Iteration 6838: c =  , s = sxrrt, state = 9
Iteration 6839: c = a, s = eaexx, state = 9
Iteration 6840: c = ], s = xrtat, state = 9
Iteration 6841: c = ), s = rxtat, state = 9
Iteration 6842: c = }, s = xatre, state = 9
Iteration 6843: c = [, s = etaex, state = 9
Iteration 6844: c = ], s = erraa, state = 9
Iteration 6845: c = ), s = aexrt, state = 9
Iteration 6846: c = t, s = exraa, state = 9
Iteration 6847: c = ), s = tartt, state = 9
Iteration 6848: c = r, s = arxta, state = 9
Iteration 6849: c = ], s = xatsr, state = 9
Iteration 6850: c = {, s = setst, state = 9
Iteration 6851: c = e, s = rxret, state = 9
Iteration 6852: c = {, s = atrtt, state = 9
Iteration 6853: c = (, s = aattr, state = 9
Iteration 6854: c = r, s = reett, state = 9
Iteration 6855: c = t, s = ataxr, state = 9
Iteration 6856: c = t, s = atrxa, state = 9
Iteration 6857: c = [, s = rteta, state = 9
Iteration 6858: c = ), s = saett, state = 9
Iteration 6859: c = a, s = retts, state = 9
Iteration 6860: c = ), s = sxsrt, state = 9
Iteration 6861: c = e, s = asxat, state = 9
Iteration 6862: c = s, s = aratt, state = 9
Iteration 6863: c = s, s = atexr, state = 9
Iteration 6864: c = [, s = xetts, state = 9
Iteration 6865: c = ), s = ssxee, state = 9
Iteration 6866: c = {, s = rsxxx, state = 9
Iteration 6867: c = t, s = exeas, state = 9
Iteration 6868: c = [, s = xexxs, state = 9
Iteration 6869: c = }, s = srrre, state = 9
Iteration 6870: c = r, s = xtxet, state = 9
Iteration 6871: c = ), s = eaaer, state = 9
Iteration 6872: c = {, s = eeeax, state = 9
Iteration 6873: c = t, s = rtsax, state = 9
Iteration 6874: c = a, s = xaxtr, state = 9
Iteration 6875: c = s, s = srses, state = 9
Iteration 6876: c = ], s = rattr, state = 9
Iteration 6877: c =  , s = aexte, state = 9
Iteration 6878: c = {, s = eaart, state = 9
Iteration 6879: c = t, s = ttetx, state = 9
Iteration 6880: c = }, s = raeas, state = 9
Iteration 6881: c = (, s = sxrxr, state = 9
Iteration 6882: c = {, s = rxare, state = 9
Iteration 6883: c = ), s = sxexx, state = 9
Iteration 6884: c = x, s = tstex, state = 9
Iteration 6885: c = {, s = erret, state = 9
Iteration 6886: c = (, s = rtree, state = 9
Iteration 6887: c = ), s = trxxs, state = 9
Iteration 6888: c = a, s = sxrtt, state = 9
Iteration 6889: c = }, s = texrt, state = 9
Iteration 6890: c = e, s = araax, state = 9
Iteration 6891: c = [, s = satte, state = 9
Iteration 6892: c = x, s = rretr, state = 9
Iteration 6893: c = r, s = rxrea, state = 9
Iteration 6894: c = [, s = eerts, state = 9
Iteration 6895: c = ], s = xetxs, state = 9
Iteration 6896: c = (, s = rarsx, state = 9
Iteration 6897: c = }, s = aaaaa, state = 9
Iteration 6898: c = t, s = xrtax, state = 9
Iteration 6899: c = (, s = staaa, state = 9
Iteration 6900: c = ], s = xxsss, state = 9
Iteration 6901: c = e, s = rxtxt, state = 9
Iteration 6902: c = {, s = sextt, state = 9
Iteration 6903: c = ), s = axssr, state = 9
Iteration 6904: c =  , s = seett, state = 9
Iteration 6905: c = (, s = sextr, state = 9
Iteration 6906: c = }, s = tssrr, state = 9
Iteration 6907: c = }, s = rsatt, state = 9
Iteration 6908: c = [, s = tetat, state = 9
Iteration 6909: c = {, s = sexer, state = 9
Iteration 6910: c = {, s = stasx, state = 9
Iteration 6911: c = s, s = saaea, state = 9
Iteration 6912: c = ], s = exxat, state = 9
Iteration 6913: c = ], s = xttex, state = 9
Iteration 6914: c = a, s = atess, state = 9
Iteration 6915: c = (, s = strtt, state = 9
Iteration 6916: c = a, s = etsxr, state = 9
Iteration 6917: c = }, s = aaeer, state = 9
Iteration 6918: c =  , s = esrxe, state = 9
Iteration 6919: c = e, s = assss, state = 9
Iteration 6920: c = [, s = aexxe, state = 9
Iteration 6921: c = a, s = xrrts, state = 9
Iteration 6922: c = }, s = arext, state = 9
Iteration 6923: c = ], s = xtsrx, state = 9
Iteration 6924: c = x, s = terea, state = 9
Iteration 6925: c = e, s = ertra, state = 9
Iteration 6926: c =  , s = sxtae, state = 9
Iteration 6927: c = (, s = xaxxe, state = 9
Iteration 6928: c = s, s = rreat, state = 9
Iteration 6929: c = t, s = tarrx, state = 9
Iteration 6930: c = (, s = saett, state = 9
Iteration 6931: c = r, s = xsert, state = 9
Iteration 6932: c = ), s = rxrsr, state = 9
Iteration 6933: c = [, s = raeas, state = 9
Iteration 6934: c = (, s = earxt, state = 9
Iteration 6935: c = e, s = xxeaa, state = 9
Iteration 6936: c = (, s = rxtae, state = 9
Iteration 6937: c = {, s = sresx, state = 9
Iteration 6938: c = e, s = eerrr, state = 9
Iteration 6939: c = (, s = ttrst, state = 9
Iteration 6940: c = x, s = aexea, state = 9
Iteration 6941: c = s, s = xxtrr, state = 9
Iteration 6942: c = ], s = srete, state = 9
Iteration 6943: c = e, s = tsxrt, state = 9
Iteration 6944: c = r, s = txxxa, state = 9
Iteration 6945: c = }, s = sxast, state = 9
Iteration 6946: c = ], s = tesax, state = 9
Iteration 6947: c =  , s = rxexe, state = 9
Iteration 6948: c = [, s = arara, state = 9
Iteration 6949: c = {, s = trexs, state = 9
Iteration 6950: c = [, s = rtrrx, state = 9
Iteration 6951: c = ], s = xartt, state = 9
Iteration 6952: c = (, s = srxte, state = 9
Iteration 6953: c = e, s = asaae, state = 9
Iteration 6954: c = ), s = eesas, state = 9
Iteration 6955: c = s, s = ssrra, state = 9
Iteration 6956: c = }, s = teexx, state = 9
Iteration 6957: c = s, s = strse, state = 9
Iteration 6958: c = (, s = rraex, state = 9
Iteration 6959: c = r, s = rsset, state = 9
Iteration 6960: c = [, s = asxrs, state = 9
Iteration 6961: c = a, s = ssaaa, state = 9
Iteration 6962: c = s, s = artxs, state = 9
Iteration 6963: c = (, s = aeexx, state = 9
Iteration 6964: c = r, s = atxtt, state = 9
